#tail	head	weight	pathway_name	pathway_ID	edge_type	tail_symbol	head_symbol	0	1	cv_part
P41279	P19838	1	TNFalpha	9	physical	MAP3K8	NFKB1	P41279	P19838	0
P41279	Q04864	1	TNFalpha	9	physical	MAP3K8	REL	P41279	Q04864	0
Q12851	Q13233	1	TNFalpha	9	physical	MAP4K2	MAP3K1	Q12851	Q13233	0
Q16539	Q15750	1	TNFalpha	9	physical	MAPK14	TAB1	Q16539	Q15750	0
Q7KZI7	Q99759	1	TNFalpha	9	physical	MARK2	MAP3K3	Q7KZI7	Q99759	0
P33993	P25963	1	TNFalpha	9	physical	MCM7	NFKBIA	P33993	P25963	0
P19838	P35606	1	TNFalpha	9	physical	NFKB1	COPB2	P19838	P35606	0
P19838	Q9Y6K9	1	TNFalpha	9	physical	NFKB1	IKBKG	P19838	Q9Y6K9	0
P19838	P41279	1	TNFalpha	9	physical	NFKB1	MAP3K8	P19838	P41279	0
P19838	Q00653	1	TNFalpha	9	physical	NFKB1	NFKB2	P19838	Q00653	0
P19838	Q15653	1	TNFalpha	9	physical	NFKB1	NFKBIB	P19838	Q15653	0
P19838	O00221	1	TNFalpha	9	physical	NFKB1	NFKBIE	P19838	O00221	0
P19838	Q01201	1	TNFalpha	9	physical	NFKB1	RELB	P19838	Q01201	0
P19838	Q8NFZ5	1	TNFalpha	9	physical	NFKB1	TNIP2	P19838	Q8NFZ5	0
Q00653	O15111	1	TNFalpha	9	physical	NFKB2	CHUK	Q00653	O15111	0
Q00653	O00571	1	TNFalpha	9	physical	NFKB2	DDX3X	Q00653	O00571	0
Q00653	Q969H0	1	TNFalpha	9	physical	NFKB2	FBXW7	Q00653	Q969H0	0
Q00653	O14920	1	TNFalpha	9	physical	NFKB2	IKBKB	Q00653	O14920	0
Q00653	Q99558	1	TNFalpha	9	physical	NFKB2	MAP3K14	Q00653	Q99558	0
Q00653	P19838	1	TNFalpha	9	physical	NFKB2	NFKB1	Q00653	P19838	0
Q00653	P25963	1	TNFalpha	9	physical	NFKB2	NFKBIA	Q00653	P25963	0
Q00653	Q04864	1	TNFalpha	9	physical	NFKB2	REL	Q00653	Q04864	0
Q00653	Q04206	1	TNFalpha	9	physical	NFKB2	RELA	Q00653	Q04206	0
Q00653	Q01201	1	TNFalpha	9	physical	NFKB2	RELB	Q00653	Q01201	0
Q00653	Q02878	1	TNFalpha	9	physical	NFKB2	RPL6	Q00653	Q02878	0
Q00653	P62277	1	TNFalpha	9	physical	NFKB2	RPS13	Q00653	P62277	0
P25963	Q9Y297	1	TNFalpha	9	physical	NFKBIA	BTRC	P25963	Q9Y297	0
P25963	O15111	1	TNFalpha	9	physical	NFKBIA	CHUK	P25963	O15111	0
P25963	Q8N668	1	TNFalpha	9	physical	NFKBIA	COMMD1	P25963	Q8N668	0
P25963	Q9UKB1	1	TNFalpha	9	physical	NFKBIA	FBXW11	P25963	Q9UKB1	0
P25963	P04792	1	TNFalpha	9	physical	NFKBIA	HSPB1	P25963	P04792	0
P25963	P33993	1	TNFalpha	9	physical	NFKBIA	MCM7	P25963	P33993	0
P25963	Q00653	1	TNFalpha	9	physical	NFKBIA	NFKB2	P25963	Q00653	0
P25963	Q15653	1	TNFalpha	9	physical	NFKBIA	NFKBIB	P25963	Q15653	0
P25963	Q9NYS0	1	TNFalpha	9	physical	NFKBIA	NKIRAS1	P25963	Q9NYS0	0
P25963	P12931	1	TNFalpha	9	physical	NFKBIA	SRC	P25963	P12931	0
P25963	P27348	1	TNFalpha	9	physical	NFKBIA	YWHAQ	P25963	P27348	0
Q15653	O15111	1	TNFalpha	9	physical	NFKBIB	CHUK	Q15653	O15111	0
Q15653	P52292	1	TNFalpha	9	physical	NFKBIB	KPNA2	Q15653	P52292	0
Q15653	P42704	1	TNFalpha	9	physical	NFKBIB	LRPPRC	Q15653	P42704	0
Q15653	P19838	1	TNFalpha	9	physical	NFKBIB	NFKB1	Q15653	P19838	0
Q15653	P25963	1	TNFalpha	9	physical	NFKBIB	NFKBIA	Q15653	P25963	0
Q15653	O60356	1	TNFalpha	9	physical	NFKBIB	NUPR1	Q15653	O60356	0
Q15653	Q16342	1	TNFalpha	9	physical	NFKBIB	PDCD2	Q15653	Q16342	0
Q15653	O95602	1	TNFalpha	9	physical	NFKBIB	POLR1A	Q15653	O95602	0
Q15653	Q9H9Y6	1	TNFalpha	9	physical	NFKBIB	POLR1B	Q15653	Q9H9Y6	0
Q15653	Q9GZS1	1	TNFalpha	9	physical	NFKBIB	POLR1E	Q15653	Q9GZS1	0
Q15653	P52434	1	TNFalpha	9	physical	NFKBIB	POLR2H	Q15653	P52434	0
Q15653	Q04864	1	TNFalpha	9	physical	NFKBIB	REL	Q15653	Q04864	0
Q15653	Q04206	1	TNFalpha	9	physical	NFKBIB	RELA	Q15653	Q04206	0
Q15653	P63208	1	TNFalpha	9	physical	NFKBIB	SKP1	Q15653	P63208	0
O00221	Q9Y297	1	TNFalpha	9	physical	NFKBIE	BTRC	O00221	Q9Y297	0
O00221	Q13616	1	TNFalpha	9	physical	NFKBIE	CUL1	O00221	Q13616	0
O00221	P19838	1	TNFalpha	9	physical	NFKBIE	NFKB1	O00221	P19838	0
O00221	Q04206	1	TNFalpha	9	physical	NFKBIE	RELA	O00221	Q04206	0
O00221	P63208	1	TNFalpha	9	physical	NFKBIE	SKP1	O00221	P63208	0
Q9NYS0	P25963	1	TNFalpha	9	physical	NKIRAS1	NFKBIA	Q9NYS0	P25963	0
Q96MN2	O15111	1	TNFalpha	9	physical	NLRP4	CHUK	Q96MN2	O15111	0
P49116	Q9Y4K3	1	TNFalpha	9	physical	NR2C2	TRAF6	P49116	Q9Y4K3	0
Q92636	P19438	1	TNFalpha	9	physical	NSMAF	TNFRSF1A	Q92636	P19438	0
O60356	Q15653	1	TNFalpha	9	physical	NUPR1	NFKBIB	O60356	Q15653	0
Q16342	Q15653	1	TNFalpha	9	physical	PDCD2	NFKBIB	Q16342	Q15653	0
Q9GZU2	Q12933	1	TNFalpha	9	physical	PEG3	TRAF2	Q9GZU2	Q12933	0
Q9UHV9	Q99759	1	TNFalpha	9	physical	PFDN2	MAP3K3	Q9UHV9	Q99759	0
Q16512	Q12933	1	TNFalpha	9	physical	PKN1	TRAF2	Q16512	Q12933	0
P29590	Q04206	1	TNFalpha	9	physical	PML	RELA	P29590	Q04206	0
O95602	Q15653	1	TNFalpha	9	physical	POLR1A	NFKBIB	O95602	Q15653	0
Q9H9Y6	Q15653	1	TNFalpha	9	physical	POLR1B	NFKBIB	Q9H9Y6	Q15653	0
Q9GZS1	Q15653	1	TNFalpha	9	physical	POLR1E	NFKBIB	Q9GZS1	Q15653	0
P52434	Q15653	1	TNFalpha	9	physical	POLR2H	NFKBIB	P52434	Q15653	0
Q8WUF5	Q04206	1	TNFalpha	9	physical	PPP1R13L	RELA	Q8WUF5	Q04206	0
P67775	Q04206	1	TNFalpha	9	Dephosphorylation	PPP2CA	RELA	P67775	Q04206	0
P17252	Q92888	1	TNFalpha	9	Phosphorylation	PRKCA	ARHGEF1	P17252	Q92888	0
Q05513	Q04206	1	TNFalpha	9	Phosphorylation	PRKCZ	RELA	Q05513	Q04206	0
P35998	Q9Y4K3	1	TNFalpha	9	physical	PSMC2	TRAF6	P35998	Q9Y4K3	0
Q9UNM6	Q9Y4K3	1	TNFalpha	9	physical	PSMD13	TRAF6	Q9UNM6	Q9Y4K3	0
Q13200	Q9Y297	1	TNFalpha	9	physical	PSMD2	BTRC	Q13200	Q9Y297	0
Q13200	Q9UKB1	1	TNFalpha	9	physical	PSMD2	FBXW11	Q13200	Q9UKB1	0
Q13200	P01375	1	TNFalpha	9	physical	PSMD2	TNF	Q13200	P01375	0
Q13200	Q15628	1	TNFalpha	9	physical	PSMD2	TRADD	Q13200	Q15628	0
Q15008	Q9Y4K3	1	TNFalpha	9	physical	PSMD6	TRAF6	Q15008	Q9Y4K3	0
P06737	Q9Y572	1	TNFalpha	9	physical	PYGL	RIPK3	P06737	Q9Y572	0
Q14644	Q9UHD2	1	TNFalpha	9	physical	RASA3	TBK1	Q14644	Q9UHD2	0
Q14644	P01375	1	TNFalpha	9	physical	RASA3	TNF	Q14644	P01375	0
Q14644	P19438	1	TNFalpha	9	physical	RASA3	TNFRSF1A	Q14644	P19438	0
Q14644	Q12933	1	TNFalpha	9	physical	RASA3	TRAF2	Q14644	Q12933	0
Q04864	P41279	1	TNFalpha	9	physical	REL	MAP3K8	Q04864	P41279	0
Q04864	Q00653	1	TNFalpha	9	physical	REL	NFKB2	Q04864	Q00653	0
Q04864	Q15653	1	TNFalpha	9	physical	REL	NFKBIB	Q04864	Q15653	0
Q04864	Q04206	1	TNFalpha	9	physical	REL	RELA	Q04864	Q04206	0
Q04206	O43823	1	TNFalpha	9	physical	RELA	AKAP8	Q04206	O43823	0
Q04206	Q92793	1	TNFalpha	9	physical	RELA	CREBBP	Q04206	Q92793	0
Q04206	Q9UN86	1	TNFalpha	9	physical	RELA	G3BP2	Q04206	Q9UN86	0
Q04206	Q13547	1	TNFalpha	9	physical	RELA	HDAC1	Q04206	Q13547	0
Q04206	Q92769	1	TNFalpha	9	physical	RELA	HDAC2	Q04206	Q92769	0
Q04206	Q13576	1	TNFalpha	9	physical	RELA	IQGAP2	Q04206	Q13576	0
Q04206	Q5VVH5	1	TNFalpha	9	physical	RELA	IRAK1BP1	Q04206	Q5VVH5	0
Q04206	Q00653	1	TNFalpha	9	physical	RELA	NFKB2	Q04206	Q00653	0
Q04206	Q15653	1	TNFalpha	9	physical	RELA	NFKBIB	Q04206	Q15653	0
Q04206	O00221	1	TNFalpha	9	physical	RELA	NFKBIE	Q04206	O00221	0
Q04206	P29590	1	TNFalpha	9	physical	RELA	PML	Q04206	P29590	0
Q04206	Q8WUF5	1	TNFalpha	9	physical	RELA	PPP1R13L	Q04206	Q8WUF5	0
Q04206	Q04864	1	TNFalpha	9	physical	RELA	REL	Q04206	Q04864	0
Q04206	Q96BH1	1	TNFalpha	9	physical	RELA	RNF25	Q04206	Q96BH1	0
Q04206	Q8NFZ5	1	TNFalpha	9	physical	RELA	TNIP2	Q04206	Q8NFZ5	0
Q04206	Q96RU7	1	TNFalpha	9	physical	RELA	TRIB3	Q04206	Q96RU7	0
Q04206	Q8IV45	1	TNFalpha	9	physical	RELA	UNC5CL	Q04206	Q8IV45	0
Q01201	Q92785	1	TNFalpha	9	physical	RELB	DPF2	Q01201	Q92785	0
Q01201	O60684	1	TNFalpha	9	physical	RELB	KPNA6	Q01201	O60684	0
Q01201	P19838	1	TNFalpha	9	physical	RELB	NFKB1	Q01201	P19838	0
Q01201	Q00653	1	TNFalpha	9	physical	RELB	NFKB2	Q01201	Q00653	0
Q01201	Q12824	1	TNFalpha	9	physical	RELB	SMARCB1	Q01201	Q12824	0
Q01201	Q92922	1	TNFalpha	9	physical	RELB	SMARCC1	Q01201	Q92922	0
Q01201	Q8TAQ2	1	TNFalpha	9	physical	RELB	SMARCC2	Q01201	Q8TAQ2	0
Q969G6	P19438	1	TNFalpha	9	physical	RFK	TNFRSF1A	Q969G6	P19438	0
Q13546	Q13490	1	TNFalpha	9	physical	RIPK1	BIRC2	Q13546	Q13490	0
Q13546	O15519	1	TNFalpha	9	physical	RIPK1	CFLAR	Q13546	O15519	0
Q13546	P78560	1	TNFalpha	9	physical	RIPK1	CRADD	Q13546	P78560	0
Q13546	P07900	1	TNFalpha	9	physical	RIPK1	HSP90AA1	Q13546	P07900	0
Q13546	Q9Y6K9	1	TNFalpha	9	physical	RIPK1	IKBKG	Q13546	Q9Y6K9	0
Q13546	Q13233	1	TNFalpha	9	physical	RIPK1	MAP3K1	Q13546	Q13233	0
Q13546	Q13233	1	TNFalpha	9	Phosphorylation	RIPK1	MAP3K1	Q13546	Q13233	0
Q13546	Q99759	1	TNFalpha	9	physical	RIPK1	MAP3K3	Q13546	Q99759	0
Q13546	P60602	1	TNFalpha	9	physical	RIPK1	ROMO1	Q13546	P60602	0
Q13546	P21580	1	TNFalpha	9	physical	RIPK1	TNFAIP3	Q13546	P21580	0
Q13546	P19438	1	TNFalpha	9	physical	RIPK1	TNFRSF1A	Q13546	P19438	0
Q13546	Q15628	1	TNFalpha	9	physical	RIPK1	TRADD	Q13546	Q15628	0
Q9Y572	Q14790	1	TNFalpha	9	physical	RIPK3	CASP8	Q9Y572	Q14790	0
Q9Y572	Q13158	1	TNFalpha	9	physical	RIPK3	FADD	Q9Y572	Q13158	0
Q9Y572	P06737	1	TNFalpha	9	physical	RIPK3	PYGL	Q9Y572	P06737	0
Q96BH1	Q04206	1	TNFalpha	9	physical	RNF25	RELA	Q96BH1	Q04206	0
P60602	Q13158	1	TNFalpha	9	physical	ROMO1	FADD	P60602	Q13158	0
P60602	Q13546	1	TNFalpha	9	physical	ROMO1	RIPK1	P60602	Q13546	0
P60602	Q15628	1	TNFalpha	9	physical	ROMO1	TRADD	P60602	Q15628	0
P60602	Q12933	1	TNFalpha	9	physical	ROMO1	TRAF2	P60602	Q12933	0
P62888	Q99558	1	TNFalpha	9	physical	RPL30	MAP3K14	P62888	Q99558	0
P36578	Q13233	1	TNFalpha	9	physical	RPL4	MAP3K1	P36578	Q13233	0
P36578	Q99558	1	TNFalpha	9	physical	RPL4	MAP3K14	P36578	Q99558	0
Q02878	Q99558	1	TNFalpha	9	physical	RPL6	MAP3K14	Q02878	Q99558	0
Q02878	Q00653	1	TNFalpha	9	physical	RPL6	NFKB2	Q02878	Q00653	0
P62280	Q99558	1	TNFalpha	9	physical	RPS11	MAP3K14	P62280	Q99558	0
P62277	Q99558	1	TNFalpha	9	physical	RPS13	MAP3K14	P62277	Q99558	0
P62277	Q00653	1	TNFalpha	9	physical	RPS13	NFKB2	P62277	Q00653	0
P23443	Q9BUZ4	1	TNFalpha	9	physical	RPS6KB1	TRAF4	P23443	Q9BUZ4	0
P63208	Q9Y297	1	TNFalpha	9	physical	SKP1	BTRC	P63208	Q9Y297	0
P63208	Q13616	1	TNFalpha	9	physical	SKP1	CUL1	P63208	Q13616	0
P63208	Q9UKB1	1	TNFalpha	9	physical	SKP1	FBXW11	P63208	Q9UKB1	0
P63208	Q15653	1	TNFalpha	9	physical	SKP1	NFKBIB	P63208	Q15653	0
P63208	O00221	1	TNFalpha	9	physical	SKP1	NFKBIE	P63208	O00221	0
Q12824	Q01201	1	TNFalpha	9	physical	SMARCB1	RELB	Q12824	Q01201	0
Q92922	Q01201	1	TNFalpha	9	physical	SMARCC1	RELB	Q92922	Q01201	0
Q8TAQ2	Q01201	1	TNFalpha	9	physical	SMARCC2	RELB	Q8TAQ2	Q01201	0
Q9NY59	O75530	1	TNFalpha	9	physical	SMPD3	EED	Q9NY59	O75530	0
Q9NY59	P19438	1	TNFalpha	9	physical	SMPD3	TNFRSF1A	Q9NY59	P19438	0
Q07889	Q07890	1	TNFalpha	9	physical	SOS1	SOS2	Q07889	Q07890	0
Q07890	Q07889	1	TNFalpha	9	physical	SOS2	SOS1	Q07890	Q07889	0
P12931	O15111	1	TNFalpha	9	physical	SRC	CHUK	P12931	O15111	0
P12931	O15111	1	TNFalpha	9	Phosphorylation	SRC	CHUK	P12931	O15111	0
P12931	P25963	1	TNFalpha	9	physical	SRC	NFKBIA	P12931	P25963	0
P12931	P25963	1	TNFalpha	9	Phosphorylation	SRC	NFKBIA	P12931	P25963	0
P42224	P20333	1	TNFalpha	9	physical	STAT1	TNFRSF1B	P42224	P20333	0
Q15750	Q16539	1	TNFalpha	9	physical	TAB1	MAPK14	Q15750	Q16539	0
Q9NYJ8	O43318	1	TNFalpha	9	physical	TAB2	MAP3K7	Q9NYJ8	O43318	0
Q9NYJ8	Q8N5C8	1	TNFalpha	9	physical	TAB2	TAB3	Q9NYJ8	Q8N5C8	0
Q9NYJ8	Q9Y4K3	1	TNFalpha	9	physical	TAB2	TRAF6	Q9NYJ8	Q9Y4K3	0
Q8N5C8	O43318	1	TNFalpha	9	physical	TAB3	MAP3K7	Q8N5C8	O43318	0
Q8N5C8	Q9NYJ8	1	TNFalpha	9	physical	TAB3	TAB2	Q8N5C8	Q9NYJ8	0
Q8N5C8	Q9Y4K3	1	TNFalpha	9	physical	TAB3	TRAF6	Q8N5C8	Q9Y4K3	0
Q92844	Q12933	1	TNFalpha	9	physical	TANK	TRAF2	Q92844	Q12933	0
Q86VP1	O15111	1	TNFalpha	9	physical	TAX1BP1	CHUK	Q86VP1	O15111	0
Q9UHD2	Q9Y297	1	TNFalpha	9	physical	TBK1	BTRC	Q9UHD2	Q9Y297	0
Q9UHD2	Q16543	1	TNFalpha	9	physical	TBK1	CDC37	Q9UHD2	Q16543	0
Q9UHD2	Q9UKB1	1	TNFalpha	9	physical	TBK1	FBXW11	Q9UHD2	Q9UKB1	0
Q9UHD2	Q9Y6K9	1	TNFalpha	9	physical	TBK1	IKBKG	Q9UHD2	Q9Y6K9	0
Q9UHD2	P25963	1	TNFalpha	9	Phosphorylation	TBK1	NFKBIA	Q9UHD2	P25963	0
Q9UHD2	Q14644	1	TNFalpha	9	physical	TBK1	RASA3	Q9UHD2	Q14644	0
Q9UHD2	P20333	1	TNFalpha	9	physical	TBK1	TNFRSF1B	Q9UHD2	P20333	0
Q9UHD2	Q12933	1	TNFalpha	9	physical	TBK1	TRAF2	Q9UHD2	Q12933	0
P01375	Q13200	1	TNFalpha	9	physical	TNF	PSMD2	P01375	Q13200	0
P01375	Q14644	1	TNFalpha	9	physical	TNF	RASA3	P01375	Q14644	0
P01375	P19438	1	TNFalpha	9	physical	TNF	TNFRSF1A	P01375	P19438	0
P01375	P20333	1	TNFalpha	9	physical	TNF	TNFRSF1B	P01375	P20333	0
P01375	Q12933	1	TNFalpha	9	physical	TNF	TRAF2	P01375	Q12933	0
P21580	Q14790	1	TNFalpha	9	physical	TNFAIP3	CASP8	P21580	Q14790	0
P21580	Q9Y6K9	1	TNFalpha	9	physical	TNFAIP3	IKBKG	P21580	Q9Y6K9	0
P21580	Q13546	1	TNFalpha	9	Deubiquitination	TNFAIP3	RIPK1	P21580	Q13546	0
P21580	Q13546	1	TNFalpha	9	physical	TNFAIP3	RIPK1	P21580	Q13546	0
P21580	Q13546	1	TNFalpha	9	Ubiquitination	TNFAIP3	RIPK1	P21580	Q13546	0
P21580	P19438	1	TNFalpha	9	physical	TNFAIP3	TNFRSF1A	P21580	P19438	0
P21580	Q8NFZ5	1	TNFalpha	9	physical	TNFAIP3	TNIP2	P21580	Q8NFZ5	0
P21580	Q13077	1	TNFalpha	9	physical	TNFAIP3	TRAF1	P21580	Q13077	0
Q9Y6Q6	Q9Y4K3	1	TNFalpha	9	physical	TNFRSF11A	TRAF6	Q9Y6Q6	Q9Y4K3	0
P19438	O95429	1	TNFalpha	9	physical	TNFRSF1A	BAG4	P19438	O95429	0
P19438	Q13490	1	TNFalpha	9	physical	TNFRSF1A	BIRC2	P19438	Q13490	0
P19438	Q9Y297	1	TNFalpha	9	physical	TNFRSF1A	BTRC	P19438	Q9Y297	0
P19438	O15111	1	TNFalpha	9	physical	TNFRSF1A	CHUK	P19438	O15111	0
P19438	Q9BXW9	1	TNFalpha	9	physical	TNFRSF1A	FANCD2	P19438	Q9BXW9	0
P19438	Q9UKB1	1	TNFalpha	9	physical	TNFRSF1A	FBXW11	P19438	Q9UKB1	0
P19438	P63244	1	TNFalpha	9	physical	TNFRSF1A	GNB2L1	P19438	P63244	0
P19438	Q8WXG6	1	TNFalpha	9	physical	TNFRSF1A	MADD	P19438	Q8WXG6	0
P19438	Q92636	1	TNFalpha	9	physical	TNFRSF1A	NSMAF	P19438	Q92636	0
P19438	Q14644	1	TNFalpha	9	physical	TNFRSF1A	RASA3	P19438	Q14644	0
P19438	Q969G6	1	TNFalpha	9	physical	TNFRSF1A	RFK	P19438	Q969G6	0
P19438	Q13546	1	TNFalpha	9	physical	TNFRSF1A	RIPK1	P19438	Q13546	0
P19438	Q9NY59	1	TNFalpha	9	physical	TNFRSF1A	SMPD3	P19438	Q9NY59	0
P19438	P01375	1	TNFalpha	9	physical	TNFRSF1A	TNF	P19438	P01375	0
P19438	P21580	1	TNFalpha	9	physical	TNFRSF1A	TNFAIP3	P19438	P21580	0
P19438	P20333	1	TNFalpha	9	physical	TNFRSF1A	TNFRSF1B	P19438	P20333	0
P19438	Q15628	1	TNFalpha	9	physical	TNFRSF1A	TRADD	P19438	Q15628	0
P19438	Q12931	1	TNFalpha	9	physical	TNFRSF1A	TRAP1	P19438	Q12931	0
P20333	Q9Y297	1	TNFalpha	9	physical	TNFRSF1B	BTRC	P20333	Q9Y297	0
P20333	P42224	1	TNFalpha	9	physical	TNFRSF1B	STAT1	P20333	P42224	0
P20333	Q9UHD2	1	TNFalpha	9	physical	TNFRSF1B	TBK1	P20333	Q9UHD2	0
P20333	P01375	1	TNFalpha	9	physical	TNFRSF1B	TNF	P20333	P01375	0
P20333	P19438	1	TNFalpha	9	physical	TNFRSF1B	TNFRSF1A	P20333	P19438	0
P20333	Q12933	1	TNFalpha	9	physical	TNFRSF1B	TRAF2	P20333	Q12933	0
P28908	Q12933	1	TNFalpha	9	physical	TNFRSF8	TRAF2	P28908	Q12933	0
Q8NFZ5	P19838	1	TNFalpha	9	physical	TNIP2	NFKB1	Q8NFZ5	P19838	0
Q8NFZ5	Q04206	1	TNFalpha	9	physical	TNIP2	RELA	Q8NFZ5	Q04206	0
