#tail	head	weight	pathway_name	pathway_ID	edge_type	tail_symbol	head_symbol	0	1	cv_part
P00519	P43403	1	TCR	11	physical	ABL1	ZAP70	P00519	P43403	0
P24666	P43403	1	TCR	11	Dephosphorylation	ACP1	ZAP70	P24666	P43403	0
P52566	P15498	1	TCR	11	physical	ARHGDIB	VAV1	P52566	P15498	0
Q15052	Q13153	1	TCR	11	physical	ARHGEF6	PAK1	Q15052	Q13153	0
Q14155	Q13153	1	TCR	11	physical	ARHGEF7	PAK1	Q14155	Q13153	0
Q9BXL7	P43403	1	TCR	11	physical	CARD11	ZAP70	Q9BXL7	P43403	0
P22681	P62993	1	TCR	11	physical	CBL	GRB2	P22681	P62993	0
P22681	Q9Y2R2	1	TCR	11	physical	CBL	PTPN22	P22681	Q9Y2R2	0
P22681	Q9H6Q3	1	TCR	11	physical	CBL	SLA2	P22681	Q9H6Q3	0
P22681	P27348	1	TCR	11	physical	CBL	YWHAQ	P22681	P27348	0
Q13191	P46109	1	TCR	11	physical	CBLB	CRKL	Q13191	P46109	0
Q13191	P43403	1	TCR	11	physical	CBLB	ZAP70	Q13191	P43403	0
P06729	O43586	1	TCR	11	physical	CD2	PSTPIP1	P06729	O43586	0
P20963	P62993	1	TCR	11	physical	CD247	GRB2	P20963	P62993	0
P20963	P52333	1	TCR	11	physical	CD247	JAK3	P20963	P52333	0
P20963	P29353	1	TCR	11	physical	CD247	SHC1	P20963	P29353	0
P20963	P51692	1	TCR	11	physical	CD247	STAT5B	P20963	P51692	0
P20963	Q6PIZ9	1	TCR	11	physical	CD247	TRAT1	P20963	Q6PIZ9	0
P20963	Q13432	1	TCR	11	physical	CD247	UNC119	P20963	Q13432	0
P10747	P27986	1	TCR	11	physical	CD28	PIK3R1	P10747	P27986	0
P10747	O00459	1	TCR	11	physical	CD28	PIK3R2	P10747	O00459	0
Q9Y5K6	O43586	1	TCR	11	physical	CD2AP	PSTPIP1	Q9Y5K6	O43586	0
P04234	P07766	1	TCR	11	physical	CD3D	CD3E	P04234	P07766	0
P04234	-	1	TCR	11	physical	CD3D	TRA@	P04234	-	0
P07766	P04234	1	TCR	11	physical	CD3E	CD3D	P07766	P04234	0
P07766	P09693	1	TCR	11	physical	CD3E	CD3G	P07766	P09693	0
P07766	P19338	1	TCR	11	physical	CD3E	NCL	P07766	P19338	0
P07766	P04435	1	TCR	11	physical	CD3E	TRB@	P07766	P04435	0
P09693	P07766	1	TCR	11	physical	CD3G	CD3E	P09693	P07766	0
P01730	P06239	1	TCR	11	physical	CD4	LCK	P01730	P06239	0
P01730	Q13432	1	TCR	11	physical	CD4	UNC119	P01730	Q13432	0
P06127	P43403	1	TCR	11	physical	CD5	ZAP70	P06127	P43403	0
P33681	P16410	1	TCR	11	physical	CD80	CTLA4	P33681	P16410	0
P01732	O43561	1	TCR	11	physical	CD8A	LAT	P01732	O43561	0
P01732	P06239	1	TCR	11	physical	CD8A	LCK	P01732	P06239	0
P60953	P42768	1	TCR	11	physical	CDC42	WAS	P60953	P42768	0
P16220	Q92793	1	TCR	11	physical	CREB1	CREBBP	P16220	Q92793	0
Q92793	P16220	1	TCR	11	physical	CREBBP	CREB1	Q92793	P16220	0
P46108	Q92918	1	TCR	11	physical	CRK	MAP4K1	P46108	Q92918	0
P46108	O00459	1	TCR	11	physical	CRK	PIK3R2	P46108	O00459	0
P46109	Q13191	1	TCR	11	physical	CRKL	CBLB	P46109	Q13191	0
P46109	Q92918	1	TCR	11	physical	CRKL	MAP4K1	P46109	Q92918	0
P46109	P43403	1	TCR	11	physical	CRKL	ZAP70	P46109	P43403	0
P16410	P33681	1	TCR	11	physical	CTLA4	CD80	P16410	P33681	0
P16410	O00459	1	TCR	11	physical	CTLA4	PIK3R2	P16410	O00459	0
Q9UJU6	Q92918	1	TCR	11	physical	DBNL	MAP4K1	Q9UJU6	Q92918	0
Q99704	P08575	1	TCR	11	physical	DOK1	PTPRC	Q99704	P08575	0
O60496	P62993	1	TCR	11	physical	DOK2	GRB2	O60496	P62993	0
O60496	O43561	1	TCR	11	physical	DOK2	LAT	O60496	O43561	0
Q86Y01	Q13233	1	TCR	11	Ubiquitination	DTX1	MAP3K1	Q86Y01	Q13233	0
P18146	Q13469	1	TCR	11	physical	EGR1	NFATC2	P18146	Q13469	0
Q9UI08	O15117	1	TCR	11	physical	EVL	FYB	Q9UI08	O15117	0
P01100	Q13469	1	TCR	11	physical	FOS	NFATC2	P01100	Q13469	0
O15117	Q9UI08	1	TCR	11	physical	FYB	EVL	O15117	Q9UI08	0
O15117	P06241	1	TCR	11	physical	FYB	FYN	O15117	P06241	0
O15117	Q13094	1	TCR	11	physical	FYB	LCP2	O15117	Q13094	0
O15117	P16333	1	TCR	11	physical	FYB	NCK1	O15117	P16333	0
O15117	P50552	1	TCR	11	physical	FYB	VASP	O15117	P50552	0
P06241	P16410	1	TCR	11	Phosphorylation	FYN	CTLA4	P06241	P16410	0
P06241	O15117	1	TCR	11	physical	FYN	FYB	P06241	O15117	0
P06241	O15117	1	TCR	11	Phosphorylation	FYN	FYB	P06241	O15117	0
P06241	Q13094	1	TCR	11	Phosphorylation	FYN	LCP2	P06241	Q13094	0
P06241	Q9NWQ8	1	TCR	11	physical	FYN	PAG1	P06241	Q9NWQ8	0
P06241	Q9Y3P8	1	TCR	11	Phosphorylation	FYN	SIT1	P06241	Q9Y3P8	0
P06241	Q86WV1	1	TCR	11	Phosphorylation	FYN	SKAP1	P06241	Q86WV1	0
P06241	Q86WV1	1	TCR	11	physical	FYN	SKAP1	P06241	Q86WV1	0
P06241	P43405	1	TCR	11	physical	FYN	SYK	P06241	P43405	0
P06241	Q6PIZ9	1	TCR	11	Phosphorylation	FYN	TRAT1	P06241	Q6PIZ9	0
P06241	P42681	1	TCR	11	Phosphorylation	FYN	TXK	P06241	P42681	0
P06241	P42681	1	TCR	11	physical	FYN	TXK	P06241	P42681	0
P06241	Q13432	1	TCR	11	physical	FYN	UNC119	P06241	Q13432	0
P06241	P15498	1	TCR	11	Phosphorylation	FYN	VAV1	P06241	P15498	0
Q9UQC2	O43561	1	TCR	11	physical	GAB2	LAT	Q9UQC2	O43561	0
Q14161	Q13153	1	TCR	11	physical	GIT2	PAK1	Q14161	Q13153	0
Q13588	P06239	1	TCR	11	physical	GRAP	LCK	Q13588	P06239	0
Q13588	P19174	1	TCR	11	physical	GRAP	PLCG1	Q13588	P19174	0
Q13588	Q07889	1	TCR	11	physical	GRAP	SOS1	Q13588	Q07889	0
O75791	O43561	1	TCR	11	physical	GRAP2	LAT	O75791	O43561	0
O75791	Q8IWV1	1	TCR	11	physical	GRAP2	LAX1	O75791	Q8IWV1	0
P62993	P22681	1	TCR	11	physical	GRB2	CBL	P62993	P22681	0
P62993	P20963	1	TCR	11	physical	GRB2	CD247	P62993	P20963	0
P62993	O60496	1	TCR	11	physical	GRB2	DOK2	P62993	O60496	0
P62993	Q92835	1	TCR	11	physical	GRB2	INPP5D	P62993	Q92835	0
P62993	Q08881	1	TCR	11	physical	GRB2	ITK	P62993	Q08881	0
P62993	Q8IWV1	1	TCR	11	physical	GRB2	LAX1	P62993	Q8IWV1	0
P62993	Q92918	1	TCR	11	physical	GRB2	MAP4K1	P62993	Q92918	0
P62993	P19174	1	TCR	11	physical	GRB2	PLCG1	P62993	P19174	0
P62993	P29353	1	TCR	11	physical	GRB2	SHC1	P62993	P29353	0
P62993	Q86WV1	1	TCR	11	physical	GRB2	SKAP1	P62993	Q86WV1	0
P62993	P43403	1	TCR	11	physical	GRB2	ZAP70	P62993	P43403	0
Q9Y6W8	O75144	1	TCR	11	physical	ICOS	ICOSLG	Q9Y6W8	O75144	0
Q9Y6W8	O00459	1	TCR	11	physical	ICOS	PIK3R2	Q9Y6W8	O00459	0
O75144	Q9Y6W8	1	TCR	11	physical	ICOSLG	ICOS	O75144	Q9Y6W8	0
O14920	P25963	1	TCR	11	Phosphorylation	IKBKB	NFKBIA	O14920	P25963	0
Q92835	P62993	1	TCR	11	physical	INPP5D	GRB2	Q92835	P62993	0
Q96J02	Q13233	1	TCR	11	physical	ITCH	MAP3K1	Q96J02	Q13233	0
Q08881	P62993	1	TCR	11	physical	ITK	GRB2	Q08881	P62993	0
Q08881	P19174	1	TCR	11	Phosphorylation	ITK	PLCG1	Q08881	P19174	0
P52333	P20963	1	TCR	11	physical	JAK3	CD247	P52333	P20963	0
P05412	Q13469	1	TCR	11	physical	JUN	NFATC2	P05412	Q13469	0
O43561	P01732	1	TCR	11	physical	LAT	CD8A	O43561	P01732	0
O43561	O60496	1	TCR	11	physical	LAT	DOK2	O43561	O60496	0
O43561	Q9UQC2	1	TCR	11	physical	LAT	GAB2	O43561	Q9UQC2	0
O43561	O75791	1	TCR	11	physical	LAT	GRAP2	O43561	O75791	0
O43561	Q13094	1	TCR	11	physical	LAT	LCP2	O43561	Q13094	0
O43561	Q92918	1	TCR	11	physical	LAT	MAP4K1	O43561	Q92918	0
O43561	P27986	1	TCR	11	physical	LAT	PIK3R1	O43561	P27986	0
O43561	O00459	1	TCR	11	physical	LAT	PIK3R2	O43561	O00459	0
O43561	P19174	1	TCR	11	physical	LAT	PLCG1	O43561	P19174	0
Q8IWV1	O75791	1	TCR	11	physical	LAX1	GRAP2	Q8IWV1	O75791	0
Q8IWV1	P62993	1	TCR	11	physical	LAX1	GRB2	Q8IWV1	P62993	0
Q8IWV1	P27986	1	TCR	11	physical	LAX1	PIK3R1	Q8IWV1	P27986	0
P06239	P01730	1	TCR	11	physical	LCK	CD4	P06239	P01730	0
P06239	P01732	1	TCR	11	physical	LCK	CD8A	P06239	P01732	0
P06239	Q13588	1	TCR	11	physical	LCK	GRAP	P06239	Q13588	0
P06239	Q8IWV1	1	TCR	11	Phosphorylation	LCK	LAX1	P06239	Q8IWV1	0
P06239	Q13094	1	TCR	11	Phosphorylation	LCK	LCP2	P06239	Q13094	0
P06239	Q05397	1	TCR	11	physical	LCK	PTK2	P06239	Q05397	0
P06239	Q14289	1	TCR	11	physical	LCK	PTK2B	P06239	Q14289	0
P06239	Q9HD43	1	TCR	11	physical	LCK	PTPRH	P06239	Q9HD43	0
P06239	Q9Y3P8	1	TCR	11	Phosphorylation	LCK	SIT1	P06239	Q9Y3P8	0
P06239	Q6PIZ9	1	TCR	11	Phosphorylation	LCK	TRAT1	P06239	Q6PIZ9	0
P06239	Q13432	1	TCR	11	physical	LCK	UNC119	P06239	Q13432	0
P06239	P15498	1	TCR	11	Phosphorylation	LCK	VAV1	P06239	P15498	0
Q13094	O15117	1	TCR	11	physical	LCP2	FYB	Q13094	O15117	0
Q13094	O43561	1	TCR	11	physical	LCP2	LAT	Q13094	O43561	0
Q13094	P16333	1	TCR	11	physical	LCP2	NCK1	Q13094	P16333	0
Q13094	P19174	1	TCR	11	physical	LCP2	PLCG1	Q13094	P19174	0
Q13094	Q9UKW4	1	TCR	11	physical	LCP2	VAV3	Q13094	Q9UKW4	0
P07948	Q86WV1	1	TCR	11	physical	LYN	SKAP1	P07948	Q86WV1	0
