#tail	head	weight	pathway_name	pathway_ID	edge_type	tail_symbol	head_symbol	0	1	cv_part
Q9Y2S0	Q15653	1	TNFalpha	9	physical	POLR1D	NFKBIB	Q9Y2S0	Q15653	1
P62875	Q15653	1	TNFalpha	9	physical	POLR2L	NFKBIB	P62875	Q15653	1
P60510	O14654	1	TNFalpha	9	Dephosphorylation	PPP4C	IRS4	P60510	O14654	1
O00743	O00221	1	TNFalpha	9	physical	PPP6C	NFKBIE	O00743	O00221	1
O43663	Q15653	1	TNFalpha	9	physical	PRC1	NFKBIB	O43663	Q15653	1
P28074	Q9Y4K3	1	TNFalpha	9	physical	PSMB5	TRAF6	P28074	Q9Y4K3	1
P62191	Q9Y4K3	1	TNFalpha	9	physical	PSMC1	TRAF6	P62191	Q9Y4K3	1
P17980	Q9Y4K3	1	TNFalpha	9	physical	PSMC3	TRAF6	P17980	Q9Y4K3	1
Q99460	Q9Y4K3	1	TNFalpha	9	physical	PSMD1	TRAF6	Q99460	Q9Y4K3	1
O00232	Q9Y4K3	1	TNFalpha	9	physical	PSMD12	TRAF6	O00232	Q9Y4K3	1
Q13200	Q14644	1	TNFalpha	9	physical	PSMD2	RASA3	Q13200	Q14644	1
Q13200	Q9UHD2	1	TNFalpha	9	physical	PSMD2	TBK1	Q13200	Q9UHD2	1
Q13200	P19438	1	TNFalpha	9	physical	PSMD2	TNFRSF1A	Q13200	P19438	1
Q13200	P20333	1	TNFalpha	9	physical	PSMD2	TNFRSF1B	Q13200	P20333	1
Q13200	Q12933	1	TNFalpha	9	physical	PSMD2	TRAF2	Q13200	Q12933	1
O43242	Q9Y4K3	1	TNFalpha	9	physical	PSMD3	TRAF6	O43242	Q9Y4K3	1
P51665	Q9Y4K3	1	TNFalpha	9	physical	PSMD7	TRAF6	P51665	Q9Y4K3	1
Q05397	Q13546	1	TNFalpha	9	physical	PTK2	RIPK1	Q05397	Q13546	1
Q05397	P19438	1	TNFalpha	9	physical	PTK2	TNFRSF1A	Q05397	P19438	1
Q05397	Q12933	1	TNFalpha	9	physical	PTK2	TRAF2	Q05397	Q12933	1
Q06124	O15111	1	TNFalpha	9	physical	PTPN11	CHUK	Q06124	O15111	1
Q14644	Q9Y297	1	TNFalpha	9	physical	RASA3	BTRC	Q14644	Q9Y297	1
Q14644	Q9UKB1	1	TNFalpha	9	physical	RASA3	FBXW11	Q14644	Q9UKB1	1
Q14644	Q13200	1	TNFalpha	9	physical	RASA3	PSMD2	Q14644	Q13200	1
Q14644	P20333	1	TNFalpha	9	physical	RASA3	TNFRSF1B	Q14644	P20333	1
Q14644	Q15628	1	TNFalpha	9	physical	RASA3	TRADD	Q14644	Q15628	1
Q9UJF2	Q15653	1	TNFalpha	9	physical	RASAL2	NFKBIB	Q9UJF2	Q15653	1
P06400	Q99683	1	TNFalpha	9	physical	RB1	MAP3K5	P06400	Q99683	1
Q04864	P19838	1	TNFalpha	9	physical	REL	NFKB1	Q04864	P19838	1
Q04864	P25963	1	TNFalpha	9	physical	REL	NFKBIA	Q04864	P25963	1
Q04864	O00221	1	TNFalpha	9	physical	REL	NFKBIE	Q04864	O00221	1
Q04864	P51003	1	TNFalpha	9	physical	REL	PAPOLA	Q04864	P51003	1
Q04864	Q8NFZ5	1	TNFalpha	9	physical	REL	TNIP2	Q04864	Q8NFZ5	1
Q04206	P31749	1	TNFalpha	9	physical	RELA	AKT1	Q04206	P31749	1
Q04206	Q8N668	1	TNFalpha	9	physical	RELA	COMMD1	Q04206	Q8N668	1
Q04206	Q09472	1	TNFalpha	9	physical	RELA	EP300	Q04206	Q09472	1
Q04206	Q9UNN5	1	TNFalpha	9	physical	RELA	FAF1	Q04206	Q9UNN5	1
Q04206	P41279	1	TNFalpha	9	physical	RELA	MAP3K8	Q04206	P41279	1
Q04206	P19838	1	TNFalpha	9	physical	RELA	NFKB1	Q04206	P19838	1
Q04206	P25963	1	TNFalpha	9	physical	RELA	NFKBIA	Q04206	P25963	1
Q04206	Q9Y6X2	1	TNFalpha	9	physical	RELA	PIAS3	Q04206	Q9Y6X2	1
Q04206	Q01201	1	TNFalpha	9	physical	RELA	RELB	Q04206	Q01201	1
Q04206	O75582	1	TNFalpha	9	physical	RELA	RPS6KA5	Q04206	O75582	1
Q04206	P27348	1	TNFalpha	9	physical	RELA	YWHAQ	Q04206	P27348	1
Q01201	O96019	1	TNFalpha	9	physical	RELB	ACTL6A	Q01201	O96019	1
Q01201	Q4VC05	1	TNFalpha	9	physical	RELB	BCL7A	Q01201	Q4VC05	1
Q01201	Q9UBN7	1	TNFalpha	9	physical	RELB	HDAC6	Q01201	Q9UBN7	1
Q01201	P52292	1	TNFalpha	9	physical	RELB	KPNA2	Q01201	P52292	1
Q01201	Q04206	1	TNFalpha	9	physical	RELB	RELA	Q01201	Q04206	1
Q01201	P51532	1	TNFalpha	9	physical	RELB	SMARCA4	Q01201	P51532	1
Q01201	Q969G3	1	TNFalpha	9	physical	RELB	SMARCE1	Q01201	Q969G3	1
Q01201	P51784	1	TNFalpha	9	physical	RELB	USP11	Q01201	P51784	1
Q8WZ73	Q13546	1	TNFalpha	9	Phosphorylation	RFFL	RIPK1	Q8WZ73	Q13546	1
Q969G6	P13498	1	TNFalpha	9	physical	RFK	CYBA	Q969G6	P13498	1
Q969G6	Q99683	1	TNFalpha	9	physical	RFK	MAP3K5	Q969G6	Q99683	1
Q13546	Q92851	1	TNFalpha	9	physical	RIPK1	CASP10	Q13546	Q92851	1
Q13546	Q14790	1	TNFalpha	9	physical	RIPK1	CASP8	Q13546	Q14790	1
Q13546	Q13158	1	TNFalpha	9	physical	RIPK1	FADD	Q13546	Q13158	1
Q13546	O14920	1	TNFalpha	9	physical	RIPK1	IKBKB	Q13546	O14920	1
Q13546	Q05397	1	TNFalpha	9	physical	RIPK1	PTK2	Q13546	Q05397	1
Q13546	Q9Y572	1	TNFalpha	9	physical	RIPK1	RIPK3	Q13546	Q9Y572	1
Q13546	Q9NYJ8	1	TNFalpha	9	physical	RIPK1	TAB2	Q13546	Q9NYJ8	1
Q13546	Q13077	1	TNFalpha	9	physical	RIPK1	TRAF1	Q13546	Q13077	1
Q13546	Q12933	1	TNFalpha	9	physical	RIPK1	TRAF2	Q13546	Q12933	1
Q13546	O76080	1	TNFalpha	9	physical	RIPK1	ZFAND5	Q13546	O76080	1
Q9Y572	P15104	1	TNFalpha	9	physical	RIPK3	GLUL	Q9Y572	P15104	1
Q9Y572	Q13546	1	TNFalpha	9	Phosphorylation	RIPK3	RIPK1	Q9Y572	Q13546	1
Q9Y572	Q13546	1	TNFalpha	9	physical	RIPK3	RIPK1	Q9Y572	Q13546	1
P60602	Q07817	1	TNFalpha	9	physical	ROMO1	BCL2L1	P60602	Q07817	1
P60602	Q14790	1	TNFalpha	9	physical	ROMO1	CASP8	P60602	Q14790	1
P62888	Q13233	1	TNFalpha	9	physical	RPL30	MAP3K1	P62888	Q13233	1
P62888	Q00653	1	TNFalpha	9	physical	RPL30	NFKB2	P62888	Q00653	1
P62917	Q99558	1	TNFalpha	9	physical	RPL8	MAP3K14	P62917	Q99558	1
P62277	Q13233	1	TNFalpha	9	physical	RPS13	MAP3K1	P62277	Q13233	1
O75582	Q04206	1	TNFalpha	9	Phosphorylation	RPS6KA5	RELA	O75582	Q04206	1
O75582	Q04206	1	TNFalpha	9	physical	RPS6KA5	RELA	O75582	Q04206	1
P19793	P27986	1	TNFalpha	9	physical	RXRA	PIK3R1	P19793	P27986	1
O15027	Q00653	1	TNFalpha	9	physical	SEC16A	NFKB2	O15027	Q00653	1
P63208	P25963	1	TNFalpha	9	physical	SKP1	NFKBIA	P63208	P25963	1
P51532	Q01201	1	TNFalpha	9	physical	SMARCA4	RELB	P51532	Q01201	1
Q969G3	Q01201	1	TNFalpha	9	physical	SMARCE1	RELB	Q969G3	Q01201	1
Q9NY59	P63244	1	TNFalpha	9	physical	SMPD3	GNB2L1	Q9NY59	P63244	1
Q07889	P62993	1	TNFalpha	9	physical	SOS1	GRB2	Q07889	P62993	1
Q07889	P19438	1	TNFalpha	9	physical	SOS1	TNFRSF1A	Q07889	P19438	1
Q07890	P62993	1	TNFalpha	9	physical	SOS2	GRB2	Q07890	P62993	1
Q07890	P19438	1	TNFalpha	9	physical	SOS2	TNFRSF1A	Q07890	P19438	1
O60271	P19838	1	TNFalpha	9	physical	SPAG9	NFKB1	O60271	P19838	1
P12931	O14920	1	TNFalpha	9	Phosphorylation	SRC	IKBKB	P12931	O14920	1
P12931	O14920	1	TNFalpha	9	physical	SRC	IKBKB	P12931	O14920	1
P42224	Q13158	1	TNFalpha	9	physical	STAT1	FADD	P42224	Q13158	1
P42224	Q15628	1	TNFalpha	9	physical	STAT1	TRADD	P42224	Q15628	1
P63165	P25963	1	TNFalpha	9	physical	SUMO1	NFKBIA	P63165	P25963	1
P43405	P19438	1	TNFalpha	9	physical	SYK	TNFRSF1A	P43405	P19438	1
P43405	P20333	1	TNFalpha	9	physical	SYK	TNFRSF1B	P43405	P20333	1
Q15750	O43318	1	TNFalpha	9	physical	TAB1	MAP3K7	Q15750	O43318	1
Q15750	Q9NYJ8	1	TNFalpha	9	physical	TAB1	TAB2	Q15750	Q9NYJ8	1
Q15750	Q8N5C8	1	TNFalpha	9	physical	TAB1	TAB3	Q15750	Q8N5C8	1
Q15750	Q12933	1	TNFalpha	9	physical	TAB1	TRAF2	Q15750	Q12933	1
Q9NYJ8	Q13546	1	TNFalpha	9	physical	TAB2	RIPK1	Q9NYJ8	Q13546	1
Q9NYJ8	Q15750	1	TNFalpha	9	physical	TAB2	TAB1	Q9NYJ8	Q15750	1
Q9NYJ8	Q12933	1	TNFalpha	9	physical	TAB2	TRAF2	Q9NYJ8	Q12933	1
Q8N5C8	P49116	1	TNFalpha	9	physical	TAB3	NR2C2	Q8N5C8	P49116	1
Q8N5C8	Q15750	1	TNFalpha	9	physical	TAB3	TAB1	Q8N5C8	Q15750	1
Q8N5C8	Q12933	1	TNFalpha	9	physical	TAB3	TRAF2	Q8N5C8	Q12933	1
Q92844	Q9UHD2	1	TNFalpha	9	physical	TANK	TBK1	Q92844	Q9UHD2	1
Q92844	Q13114	1	TNFalpha	9	physical	TANK	TRAF3	Q92844	Q13114	1
Q9UHD2	P07900	1	TNFalpha	9	physical	TBK1	HSP90AA1	Q9UHD2	P07900	1
Q9UHD2	P08238	1	TNFalpha	9	physical	TBK1	HSP90AB1	Q9UHD2	P08238	1
Q9UHD2	Q13200	1	TNFalpha	9	physical	TBK1	PSMD2	Q9UHD2	Q13200	1
Q9UHD2	Q92844	1	TNFalpha	9	physical	TBK1	TANK	Q9UHD2	Q92844	1
Q9UHD2	A7MCY6	1	TNFalpha	9	physical	TBK1	TBKBP1	Q9UHD2	A7MCY6	1
Q9UHD2	P01375	1	TNFalpha	9	physical	TBK1	TNF	Q9UHD2	P01375	1
Q9UHD2	P19438	1	TNFalpha	9	physical	TBK1	TNFRSF1A	Q9UHD2	P19438	1
Q9UHD2	Q15628	1	TNFalpha	9	physical	TBK1	TRADD	Q9UHD2	Q15628	1
A7MCY6	Q9UHD2	1	TNFalpha	9	physical	TBKBP1	TBK1	A7MCY6	Q9UHD2	1
Q96CG3	Q12933	1	TNFalpha	9	physical	TIFA	TRAF2	Q96CG3	Q12933	1
P01375	Q9Y297	1	TNFalpha	9	physical	TNF	BTRC	P01375	Q9Y297	1
P01375	Q9UKB1	1	TNFalpha	9	physical	TNF	FBXW11	P01375	Q9UKB1	1
P01375	Q9UHD2	1	TNFalpha	9	physical	TNF	TBK1	P01375	Q9UHD2	1
P01375	Q15628	1	TNFalpha	9	physical	TNF	TRADD	P01375	Q15628	1
P21580	Q13158	1	TNFalpha	9	physical	TNFAIP3	FADD	P21580	Q13158	1
P21580	Q99683	1	TNFalpha	9	physical	TNFAIP3	MAP3K5	P21580	Q99683	1
P21580	Q12933	1	TNFalpha	9	physical	TNFAIP3	TRAF2	P21580	Q12933	1
P21580	O76080	1	TNFalpha	9	physical	TNFAIP3	ZFAND5	P21580	O76080	1
P19438	Q14790	1	TNFalpha	9	physical	TNFRSF1A	CASP8	P19438	Q14790	1
P19438	Q03135	1	TNFalpha	9	physical	TNFRSF1A	CAV1	P19438	Q03135	1
P19438	O75530	1	TNFalpha	9	physical	TNFRSF1A	EED	P19438	O75530	1
P19438	Q13158	1	TNFalpha	9	physical	TNFRSF1A	FADD	P19438	Q13158	1
P19438	P16278	1	TNFalpha	9	physical	TNFRSF1A	GLB1	P19438	P16278	1
P19438	P62993	1	TNFalpha	9	physical	TNFRSF1A	GRB2	P19438	P62993	1
P19438	P07900	1	TNFalpha	9	physical	TNFRSF1A	HSP90AA1	P19438	P07900	1
P19438	O14920	1	TNFalpha	9	physical	TNFRSF1A	IKBKB	P19438	O14920	1
P19438	Q9Y6K9	1	TNFalpha	9	physical	TNFRSF1A	IKBKG	P19438	Q9Y6K9	1
P19438	Q6GQQ9	1	TNFalpha	9	physical	TNFRSF1A	OTUD7B	P19438	Q6GQQ9	1
P19438	Q13200	1	TNFalpha	9	physical	TNFRSF1A	PSMD2	P19438	Q13200	1
P19438	Q05397	1	TNFalpha	9	physical	TNFRSF1A	PTK2	P19438	Q05397	1
P19438	Q07889	1	TNFalpha	9	physical	TNFRSF1A	SOS1	P19438	Q07889	1
P19438	Q07890	1	TNFalpha	9	physical	TNFRSF1A	SOS2	P19438	Q07890	1
P19438	P43405	1	TNFalpha	9	physical	TNFRSF1A	SYK	P19438	P43405	1
P19438	Q9UHD2	1	TNFalpha	9	physical	TNFRSF1A	TBK1	P19438	Q9UHD2	1
P19438	Q12933	1	TNFalpha	9	physical	TNFRSF1A	TRAF2	P19438	Q12933	1
P19438	P63279	1	TNFalpha	9	physical	TNFRSF1A	UBE2I	P19438	P63279	1
P20333	Q9BXW9	1	TNFalpha	9	physical	TNFRSF1B	FANCD2	P20333	Q9BXW9	1
P20333	Q9UKB1	1	TNFalpha	9	physical	TNFRSF1B	FBXW11	P20333	Q9UKB1	1
P20333	Q13200	1	TNFalpha	9	physical	TNFRSF1B	PSMD2	P20333	Q13200	1
P20333	Q14644	1	TNFalpha	9	physical	TNFRSF1B	RASA3	P20333	Q14644	1
P20333	P43405	1	TNFalpha	9	physical	TNFRSF1B	SYK	P20333	P43405	1
P20333	Q15628	1	TNFalpha	9	physical	TNFRSF1B	TRADD	P20333	Q15628	1
Q8NFZ5	P41279	1	TNFalpha	9	physical	TNIP2	MAP3K8	Q8NFZ5	P41279	1
Q8NFZ5	Q00653	1	TNFalpha	9	physical	TNIP2	NFKB2	Q8NFZ5	Q00653	1
Q8NFZ5	Q04864	1	TNFalpha	9	physical	TNIP2	REL	Q8NFZ5	Q04864	1
Q15628	Q92851	1	TNFalpha	9	physical	TRADD	CASP10	Q15628	Q92851	1
Q15628	Q03135	1	TNFalpha	9	physical	TRADD	CAV1	Q15628	Q03135	1
Q15628	O15519	1	TNFalpha	9	physical	TRADD	CFLAR	Q15628	O15519	1
Q15628	Q9UKB1	1	TNFalpha	9	physical	TRADD	FBXW11	Q15628	Q9UKB1	1
Q15628	Q14644	1	TNFalpha	9	physical	TRADD	RASA3	Q15628	Q14644	1
Q15628	P42224	1	TNFalpha	9	physical	TRADD	STAT1	Q15628	P42224	1
Q15628	Q9UHD2	1	TNFalpha	9	physical	TRADD	TBK1	Q15628	Q9UHD2	1
Q15628	P01375	1	TNFalpha	9	physical	TRADD	TNF	Q15628	P01375	1
Q15628	P20333	1	TNFalpha	9	physical	TRADD	TNFRSF1B	Q15628	P20333	1
Q15628	Q13077	1	TNFalpha	9	physical	TRADD	TRAF1	Q15628	Q13077	1
Q15628	Q12933	1	TNFalpha	9	physical	TRADD	TRAF2	Q15628	Q12933	1
Q13077	Q14790	1	TNFalpha	9	physical	TRAF1	CASP8	Q13077	Q14790	1
Q13077	O15111	1	TNFalpha	9	physical	TRAF1	CHUK	Q13077	O15111	1
Q13077	O14920	1	TNFalpha	9	physical	TRAF1	IKBKB	Q13077	O14920	1
Q13077	Q13546	1	TNFalpha	9	physical	TRAF1	RIPK1	Q13077	Q13546	1
Q13077	Q15628	1	TNFalpha	9	physical	TRAF1	TRADD	Q13077	Q15628	1
Q13077	Q12933	1	TNFalpha	9	physical	TRAF1	TRAF2	Q13077	Q12933	1
Q12933	Q9Y297	1	TNFalpha	9	physical	TRAF2	BTRC	Q12933	Q9Y297	1
Q12933	Q14790	1	TNFalpha	9	physical	TRAF2	CASP8	Q12933	Q14790	1
Q12933	O15111	1	TNFalpha	9	physical	TRAF2	CHUK	Q12933	O15111	1
Q12933	Q92905	1	TNFalpha	9	physical	TRAF2	COPS5	Q12933	Q92905	1
Q12933	Q9UKB1	1	TNFalpha	9	physical	TRAF2	FBXW11	Q12933	Q9UKB1	1
Q12933	P21333	1	TNFalpha	9	physical	TRAF2	FLNA	Q12933	P21333	1
Q12933	Q99558	1	TNFalpha	9	physical	TRAF2	MAP3K14	Q12933	Q99558	1
Q12933	Q99683	1	TNFalpha	9	physical	TRAF2	MAP3K5	Q12933	Q99683	1
Q12933	O43318	1	TNFalpha	9	physical	TRAF2	MAP3K7	Q12933	O43318	1
Q12933	Q12851	1	TNFalpha	9	physical	TRAF2	MAP4K2	Q12933	Q12851	1
Q12933	Q13200	1	TNFalpha	9	physical	TRAF2	PSMD2	Q12933	Q13200	1
Q12933	Q05397	1	TNFalpha	9	physical	TRAF2	PTK2	Q12933	Q05397	1
Q12933	Q13546	1	TNFalpha	9	Ubiquitination	TRAF2	RIPK1	Q12933	Q13546	1
Q12933	Q13546	1	TNFalpha	9	physical	TRAF2	RIPK1	Q12933	Q13546	1
Q12933	Q15750	1	TNFalpha	9	physical	TRAF2	TAB1	Q12933	Q15750	1
Q12933	Q9NYJ8	1	TNFalpha	9	physical	TRAF2	TAB2	Q12933	Q9NYJ8	1
Q12933	Q8N5C8	1	TNFalpha	9	physical	TRAF2	TAB3	Q12933	Q8N5C8	1
Q12933	Q96CG3	1	TNFalpha	9	physical	TRAF2	TIFA	Q12933	Q96CG3	1
Q12933	P21580	1	TNFalpha	9	physical	TRAF2	TNFAIP3	Q12933	P21580	1
Q12933	P19438	1	TNFalpha	9	physical	TRAF2	TNFRSF1A	Q12933	P19438	1
Q12933	Q15628	1	TNFalpha	9	physical	TRAF2	TRADD	Q12933	Q15628	1
Q12933	Q13077	1	TNFalpha	9	physical	TRAF2	TRAF1	Q12933	Q13077	1
Q13114	Q99558	1	TNFalpha	9	physical	TRAF3	MAP3K14	Q13114	Q99558	1
Q13114	Q92844	1	TNFalpha	9	physical	TRAF3	TANK	Q13114	Q92844	1
Q9Y4K3	P51787	1	TNFalpha	9	physical	TRAF6	KCNQ1	Q9Y4K3	P51787	1
Q9Y4K3	P28074	1	TNFalpha	9	physical	TRAF6	PSMB5	Q9Y4K3	P28074	1
Q9Y4K3	P62191	1	TNFalpha	9	physical	TRAF6	PSMC1	Q9Y4K3	P62191	1
Q9Y4K3	P17980	1	TNFalpha	9	physical	TRAF6	PSMC3	Q9Y4K3	P17980	1
Q9Y4K3	Q99460	1	TNFalpha	9	physical	TRAF6	PSMD1	Q9Y4K3	Q99460	1
Q9Y4K3	O00232	1	TNFalpha	9	physical	TRAF6	PSMD12	Q9Y4K3	O00232	1
Q9Y4K3	O43242	1	TNFalpha	9	physical	TRAF6	PSMD3	Q9Y4K3	O43242	1
Q9Y4K3	P51665	1	TNFalpha	9	physical	TRAF6	PSMD7	Q9Y4K3	P51665	1
P40222	Q9Y6K9	1	TNFalpha	9	physical	TXLNA	IKBKG	P40222	Q9Y6K9	1
P62837	P25963	1	TNFalpha	9	Ubiquitination	UBE2D2	NFKBIA	P62837	P25963	1
P61077	P25963	1	TNFalpha	9	Ubiquitination	UBE2D3	NFKBIA	P61077	P25963	1
P63279	Q13233	1	TNFalpha	9	physical	UBE2I	MAP3K1	P63279	Q13233	1
P63279	P19438	1	TNFalpha	9	physical	UBE2I	TNFRSF1A	P63279	P19438	1
P51784	Q01201	1	TNFalpha	9	physical	USP11	RELB	P51784	Q01201	1
O75604	Q00653	1	TNFalpha	9	physical	USP2	NFKB2	O75604	Q00653	1
P31946	Q99759	1	TNFalpha	9	physical	YWHAB	MAP3K3	P31946	Q99759	1
P62258	Q99759	1	TNFalpha	9	physical	YWHAE	MAP3K3	P62258	Q99759	1
P61981	Q99759	1	TNFalpha	9	physical	YWHAG	MAP3K3	P61981	Q99759	1
Q04917	Q99759	1	TNFalpha	9	physical	YWHAH	MAP3K3	Q04917	Q99759	1
P27348	Q04206	1	TNFalpha	9	physical	YWHAQ	RELA	P27348	Q04206	1
O76080	Q9Y6K9	1	TNFalpha	9	physical	ZFAND5	IKBKG	O76080	Q9Y6K9	1
O76080	Q13546	1	TNFalpha	9	physical	ZFAND5	RIPK1	O76080	Q13546	1
O76080	P21580	1	TNFalpha	9	physical	ZFAND5	TNFAIP3	O76080	P21580	1
