#tail	head	weight	pathway_name	pathway_ID	edge_type	tail_symbol	head_symbol	0	1	cv_part
P37023	P37173	1	TGF_beta_Receptor	7	physical	ACVRL1	TGFBR2	P37023	P37173	0
Q9H1A4	Q9UM13	1	TGF_beta_Receptor	7	physical	ANAPC1	ANAPC10	Q9H1A4	Q9UM13	0
Q9H1A4	Q9UJX4	1	TGF_beta_Receptor	7	physical	ANAPC1	ANAPC5	Q9H1A4	Q9UJX4	0
Q9H1A4	Q9UJX2	1	TGF_beta_Receptor	7	physical	ANAPC1	CDC23	Q9H1A4	Q9UJX2	0
Q9H1A4	P30260	1	TGF_beta_Receptor	7	physical	ANAPC1	CDC27	Q9H1A4	P30260	0
Q9H1A4	Q9UM11	1	TGF_beta_Receptor	7	physical	ANAPC1	FZR1	Q9H1A4	Q9UM11	0
Q9UM13	Q9H1A4	1	TGF_beta_Receptor	7	physical	ANAPC10	ANAPC1	Q9UM13	Q9H1A4	0
Q9UM13	Q9UJX6	1	TGF_beta_Receptor	7	physical	ANAPC10	ANAPC2	Q9UM13	Q9UJX6	0
Q9UM13	Q9UJX5	1	TGF_beta_Receptor	7	physical	ANAPC10	ANAPC4	Q9UM13	Q9UJX5	0
Q9UM13	Q13042	1	TGF_beta_Receptor	7	physical	ANAPC10	CDC16	Q9UM13	Q13042	0
Q9UM13	Q9UJX2	1	TGF_beta_Receptor	7	physical	ANAPC10	CDC23	Q9UM13	Q9UJX2	0
Q9UM13	Q9UM11	1	TGF_beta_Receptor	7	physical	ANAPC10	FZR1	Q9UM13	Q9UM11	0
Q9UJX6	Q9UM13	1	TGF_beta_Receptor	7	physical	ANAPC2	ANAPC10	Q9UJX6	Q9UM13	0
Q9UJX6	Q9UJX4	1	TGF_beta_Receptor	7	physical	ANAPC2	ANAPC5	Q9UJX6	Q9UJX4	0
Q9UJX6	Q9UJX2	1	TGF_beta_Receptor	7	physical	ANAPC2	CDC23	Q9UJX6	Q9UJX2	0
Q9UJX6	P30260	1	TGF_beta_Receptor	7	physical	ANAPC2	CDC27	Q9UJX6	P30260	0
Q9UJX5	Q9UM13	1	TGF_beta_Receptor	7	physical	ANAPC4	ANAPC10	Q9UJX5	Q9UM13	0
Q9UJX5	Q9UJX4	1	TGF_beta_Receptor	7	physical	ANAPC4	ANAPC5	Q9UJX5	Q9UJX4	0
Q9UJX5	Q9UJX3	1	TGF_beta_Receptor	7	physical	ANAPC4	ANAPC7	Q9UJX5	Q9UJX3	0
Q9UJX5	Q9UJX2	1	TGF_beta_Receptor	7	physical	ANAPC4	CDC23	Q9UJX5	Q9UJX2	0
Q9UJX5	P30260	1	TGF_beta_Receptor	7	physical	ANAPC4	CDC27	Q9UJX5	P30260	0
Q9UJX5	Q9UM11	1	TGF_beta_Receptor	7	physical	ANAPC4	FZR1	Q9UJX5	Q9UM11	0
Q9UJX4	Q9H1A4	1	TGF_beta_Receptor	7	physical	ANAPC5	ANAPC1	Q9UJX4	Q9H1A4	0
Q9UJX4	Q9UJX6	1	TGF_beta_Receptor	7	physical	ANAPC5	ANAPC2	Q9UJX4	Q9UJX6	0
Q9UJX4	Q9UJX5	1	TGF_beta_Receptor	7	physical	ANAPC5	ANAPC4	Q9UJX4	Q9UJX5	0
Q9UJX4	Q9UM11	1	TGF_beta_Receptor	7	physical	ANAPC5	FZR1	Q9UJX4	Q9UM11	0
Q9UJX3	Q9UJX5	1	TGF_beta_Receptor	7	physical	ANAPC7	ANAPC4	Q9UJX3	Q9UJX5	0
Q9UJX3	Q13042	1	TGF_beta_Receptor	7	physical	ANAPC7	CDC16	Q9UJX3	Q13042	0
Q9UJX3	Q9UJX2	1	TGF_beta_Receptor	7	physical	ANAPC7	CDC23	Q9UJX3	Q9UJX2	0
Q9UJX3	P30260	1	TGF_beta_Receptor	7	physical	ANAPC7	CDC27	Q9UJX3	P30260	0
P63010	P37173	1	TGF_beta_Receptor	7	physical	AP2B1	TGFBR2	P63010	P37173	0
P32121	Q03167	1	TGF_beta_Receptor	7	physical	ARRB2	TGFBR3	P32121	Q03167	0
P15336	Q13485	1	TGF_beta_Receptor	7	physical	ATF2	SMAD4	P15336	Q13485	0
O15169	Q15796	1	TGF_beta_Receptor	7	physical	AXIN1	SMAD2	O15169	Q15796	0
O15169	P84022	1	TGF_beta_Receptor	7	physical	AXIN1	SMAD3	O15169	P84022	0
O15169	P36897	1	TGF_beta_Receptor	7	physical	AXIN1	TGFBR1	O15169	P36897	0
P56945	P84022	1	TGF_beta_Receptor	7	physical	BCAR1	SMAD3	P56945	P84022	0
P56945	TGFBR	1	TGF_beta_Receptor	7	physical	BCAR1	TGFBR	P56945	TGFBR	0
Q9Y297	P84022	1	TGF_beta_Receptor	7	Ubiquitination	BTRC	SMAD3	Q9Y297	P84022	0
Q9Y297	P84022	1	TGF_beta_Receptor	7	physical	BTRC	SMAD3	Q9Y297	P84022	0
Q9UQM7	Q15796	1	TGF_beta_Receptor	7	Phosphorylation	CAMK2A	SMAD2	Q9UQM7	Q15796	0
Q13557	Q15796	1	TGF_beta_Receptor	7	Phosphorylation	CAMK2D	SMAD2	Q13557	Q15796	0
Q13555	Q15796	1	TGF_beta_Receptor	7	Phosphorylation	CAMK2G	SMAD2	Q13555	Q15796	0
Q03135	P61586	1	TGF_beta_Receptor	7	physical	CAV1	RHOA	Q03135	P61586	0
P24864	P28749	1	TGF_beta_Receptor	7	physical	CCNE1	RBL1	P24864	P28749	0
Q13042	Q9UM13	1	TGF_beta_Receptor	7	physical	CDC16	ANAPC10	Q13042	Q9UM13	0
Q13042	Q9UJX3	1	TGF_beta_Receptor	7	physical	CDC16	ANAPC7	Q13042	Q9UJX3	0
Q13042	P30260	1	TGF_beta_Receptor	7	physical	CDC16	CDC27	Q13042	P30260	0
Q13042	P12757	1	TGF_beta_Receptor	7	physical	CDC16	SKIL	Q13042	P12757	0
Q13042	Q15796	1	TGF_beta_Receptor	7	physical	CDC16	SMAD2	Q13042	Q15796	0
Q13042	P84022	1	TGF_beta_Receptor	7	physical	CDC16	SMAD3	Q13042	P84022	0
Q9UJX2	Q9H1A4	1	TGF_beta_Receptor	7	physical	CDC23	ANAPC1	Q9UJX2	Q9H1A4	0
Q9UJX2	Q9UM13	1	TGF_beta_Receptor	7	physical	CDC23	ANAPC10	Q9UJX2	Q9UM13	0
Q9UJX2	Q9UJX6	1	TGF_beta_Receptor	7	physical	CDC23	ANAPC2	Q9UJX2	Q9UJX6	0
Q9UJX2	Q9UJX5	1	TGF_beta_Receptor	7	physical	CDC23	ANAPC4	Q9UJX2	Q9UJX5	0
Q9UJX2	Q9UJX3	1	TGF_beta_Receptor	7	physical	CDC23	ANAPC7	Q9UJX2	Q9UJX3	0
P30304	Q13464	1	TGF_beta_Receptor	7	physical	CDC25A	ROCK1	P30304	Q13464	0
P30260	Q9H1A4	1	TGF_beta_Receptor	7	physical	CDC27	ANAPC1	P30260	Q9H1A4	0
P30260	Q9UJX6	1	TGF_beta_Receptor	7	physical	CDC27	ANAPC2	P30260	Q9UJX6	0
P30260	Q9UJX5	1	TGF_beta_Receptor	7	physical	CDC27	ANAPC4	P30260	Q9UJX5	0
P30260	Q9UJX3	1	TGF_beta_Receptor	7	physical	CDC27	ANAPC7	P30260	Q9UJX3	0
P30260	Q13042	1	TGF_beta_Receptor	7	physical	CDC27	CDC16	P30260	Q13042	0
P30260	Q9UM11	1	TGF_beta_Receptor	7	physical	CDC27	FZR1	P30260	Q9UM11	0
P24941	P38936	1	TGF_beta_Receptor	7	physical	CDK2	CDKN1A	P24941	P38936	0
P24941	P06400	1	TGF_beta_Receptor	7	Phosphorylation	CDK2	RB1	P24941	P06400	0
P24941	P06400	1	TGF_beta_Receptor	7	physical	CDK2	RB1	P24941	P06400	0
P11802	P06400	1	TGF_beta_Receptor	7	Phosphorylation	CDK4	RB1	P11802	P06400	0
Q00534	P06400	1	TGF_beta_Receptor	7	Phosphorylation	CDK6	RB1	Q00534	P06400	0
P38936	P24941	1	TGF_beta_Receptor	7	physical	CDKN1A	CDK2	P38936	P24941	0
Q99966	Q92793	1	TGF_beta_Receptor	7	physical	CITED1	CREBBP	Q99966	Q92793	0
Q99966	Q09472	1	TGF_beta_Receptor	7	physical	CITED1	EP300	Q99966	Q09472	0
Q99966	P11142	1	TGF_beta_Receptor	7	physical	CITED1	HSPA8	Q99966	P11142	0
Q99966	Q13485	1	TGF_beta_Receptor	7	physical	CITED1	SMAD4	Q99966	Q13485	0
Q92905	Q13485	1	TGF_beta_Receptor	7	physical	COPS5	SMAD4	Q92905	Q13485	0
Q92905	Q13485	1	TGF_beta_Receptor	7	Ubiquitination	COPS5	SMAD4	Q92905	Q13485	0
Q92905	O15105	1	TGF_beta_Receptor	7	physical	COPS5	SMAD7	Q92905	O15105	0
Q92793	Q99966	1	TGF_beta_Receptor	7	physical	CREBBP	CITED1	Q92793	Q99966	0
Q92793	Q8TAD8	1	TGF_beta_Receptor	7	physical	CREBBP	SNIP1	Q92793	Q8TAD8	0
P78368	P84022	1	TGF_beta_Receptor	7	Phosphorylation	CSNK1G2	SMAD3	P78368	P84022	0
P49711	P84022	1	TGF_beta_Receptor	7	physical	CTCF	SMAD3	P49711	P84022	0
P35222	P84022	1	TGF_beta_Receptor	7	physical	CTNNB1	SMAD3	P35222	P84022	0
P35222	O15105	1	TGF_beta_Receptor	7	physical	CTNNB1	SMAD7	P35222	O15105	0
P35222	P37173	1	TGF_beta_Receptor	7	physical	CTNNB1	TGFBR2	P35222	P37173	0
Q13616	P84022	1	TGF_beta_Receptor	7	Ubiquitination	CUL1	SMAD3	Q13616	P84022	0
Q13616	P84022	1	TGF_beta_Receptor	7	physical	CUL1	SMAD3	Q13616	P84022	0
P98082	O43318	1	TGF_beta_Receptor	7	physical	DAB2	MAP3K7	P98082	O43318	0
P98082	P36897	1	TGF_beta_Receptor	7	physical	DAB2	TGFBR1	P98082	P36897	0
P98082	P37173	1	TGF_beta_Receptor	7	physical	DAB2	TGFBR2	P98082	P37173	0
Q9NPI6	Q13485	1	TGF_beta_Receptor	7	physical	DCP1A	SMAD4	Q9NPI6	Q13485	0
O14640	Q13485	1	TGF_beta_Receptor	7	physical	DVL1	SMAD4	O14640	Q13485	0
O14640	O15105	1	TGF_beta_Receptor	7	physical	DVL1	SMAD7	O14640	O15105	0
O14576	Q9NP97	1	TGF_beta_Receptor	7	physical	DYNC1I1	DYNLRB1	O14576	Q9NP97	0
Q9NP97	O14576	1	TGF_beta_Receptor	7	physical	DYNLRB1	DYNC1I1	Q9NP97	O14576	0
Q8TF09	P37173	1	TGF_beta_Receptor	7	physical	DYNLRB2	TGFBR2	Q8TF09	P37173	0
Q16254	Q15329	1	TGF_beta_Receptor	7	physical	E2F4	E2F5	Q16254	Q15329	0
Q16254	P06400	1	TGF_beta_Receptor	7	physical	E2F4	RB1	Q16254	P06400	0
Q16254	Q08999	1	TGF_beta_Receptor	7	physical	E2F4	RBL2	Q16254	Q08999	0
Q16254	P84022	1	TGF_beta_Receptor	7	physical	E2F4	SMAD3	Q16254	P84022	0
Q15329	Q16254	1	TGF_beta_Receptor	7	physical	E2F5	E2F4	Q15329	Q16254	0
Q15329	P84022	1	TGF_beta_Receptor	7	physical	E2F5	SMAD3	Q15329	P84022	0
Q8N6I1	P84022	1	TGF_beta_Receptor	7	physical	EID2	SMAD3	Q8N6I1	P84022	0
Q13347	P37173	1	TGF_beta_Receptor	7	physical	EIF3I	TGFBR2	Q13347	P37173	0
P17813	P36897	1	TGF_beta_Receptor	7	physical	ENG	TGFBR1	P17813	P36897	0
Q09472	Q99966	1	TGF_beta_Receptor	7	physical	EP300	CITED1	Q09472	Q99966	0
Q09472	Q15788	1	TGF_beta_Receptor	7	physical	EP300	NCOA1	Q09472	Q15788	0
Q09472	Q13485	1	TGF_beta_Receptor	7	physical	EP300	SMAD4	Q09472	Q13485	0
Q09472	O15105	1	TGF_beta_Receptor	7	physical	EP300	SMAD7	Q09472	O15105	0
Q09472	Q8TAD8	1	TGF_beta_Receptor	7	physical	EP300	SNIP1	Q09472	Q8TAD8	0
Q96RT1	Q15796	1	TGF_beta_Receptor	7	physical	ERBB2IP	SMAD2	Q96RT1	Q15796	0
Q96RT1	Q13485	1	TGF_beta_Receptor	7	physical	ERBB2IP	SMAD4	Q96RT1	Q13485	0
P03372	Q13485	1	TGF_beta_Receptor	7	physical	ESR1	SMAD4	P03372	Q13485	0
P14921	P08047	1	TGF_beta_Receptor	7	physical	ETS1	SP1	P14921	P08047	0
